,start_time,end_time,data_type,originDataSourceId,heart_rate
93,2022-12-09T16:51:43,2022-12-09T16:51:43,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,113
94,2022-12-09T16:51:44,2022-12-09T16:51:44,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,113
95,2022-12-09T16:51:45,2022-12-09T16:51:45,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,111
96,2022-12-09T16:51:46,2022-12-09T16:51:46,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,110
97,2022-12-09T16:51:47,2022-12-09T16:51:47,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,113
98,2022-12-09T16:51:48,2022-12-09T16:51:48,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,124
99,2022-12-09T16:51:49,2022-12-09T16:51:49,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,126
100,2022-12-09T16:51:50,2022-12-09T16:51:50,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,124
101,2022-12-09T16:51:51,2022-12-09T16:51:51,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,125
102,2022-12-09T16:51:52,2022-12-09T16:51:52,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,125
103,2022-12-09T16:51:53,2022-12-09T16:51:53,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,127
104,2022-12-09T16:51:54,2022-12-09T16:51:54,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,127
105,2022-12-09T16:51:55,2022-12-09T16:51:55,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,128
106,2022-12-09T16:51:56,2022-12-09T16:51:56,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,128
107,2022-12-09T16:51:57,2022-12-09T16:51:57,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,129
108,2022-12-09T16:51:58,2022-12-09T16:51:58,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,130
109,2022-12-09T16:51:59,2022-12-09T16:51:59,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,129
110,2022-12-09T16:52:00,2022-12-09T16:52:00,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,129
111,2022-12-09T16:52:01,2022-12-09T16:52:01,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,128
112,2022-12-09T16:52:02,2022-12-09T16:52:02,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,126
113,2022-12-09T16:52:03,2022-12-09T16:52:03,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,124
114,2022-12-09T16:52:04,2022-12-09T16:52:04,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,121
115,2022-12-09T16:52:05,2022-12-09T16:52:05,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,120
116,2022-12-09T16:52:06,2022-12-09T16:52:06,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,119
117,2022-12-09T16:52:07,2022-12-09T16:52:07,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,118
118,2022-12-09T16:52:08,2022-12-09T16:52:08,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,117
119,2022-12-09T16:52:09,2022-12-09T16:52:09,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,115
120,2022-12-09T16:52:10,2022-12-09T16:52:10,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,115
121,2022-12-09T16:52:11,2022-12-09T16:52:11,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,114
122,2022-12-09T16:52:12,2022-12-09T16:52:12,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,114
123,2022-12-09T16:52:13,2022-12-09T16:52:13,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,114
124,2022-12-09T16:52:14,2022-12-09T16:52:14,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,113
125,2022-12-09T16:52:15,2022-12-09T16:52:15,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,112
126,2022-12-09T16:52:16,2022-12-09T16:52:16,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,111
127,2022-12-09T16:52:17,2022-12-09T16:52:17,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,111
128,2022-12-09T16:52:18,2022-12-09T16:52:18,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,110
129,2022-12-09T16:52:19,2022-12-09T16:52:19,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,109
130,2022-12-09T16:52:20,2022-12-09T16:52:20,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,110
131,2022-12-09T16:52:21,2022-12-09T16:52:21,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,111
132,2022-12-09T16:52:22,2022-12-09T16:52:22,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,111
133,2022-12-09T16:52:23,2022-12-09T16:52:23,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,110
134,2022-12-09T16:52:24,2022-12-09T16:52:24,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,110
135,2022-12-09T16:52:25,2022-12-09T16:52:25,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,108
136,2022-12-09T16:52:26,2022-12-09T16:52:26,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,110
137,2022-12-09T16:52:27,2022-12-09T16:52:27,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,108
138,2022-12-09T16:52:28,2022-12-09T16:52:28,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,108
139,2022-12-09T16:52:29,2022-12-09T16:52:29,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,105
140,2022-12-09T16:52:30,2022-12-09T16:52:30,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
141,2022-12-09T16:52:31,2022-12-09T16:52:31,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
142,2022-12-09T16:52:32,2022-12-09T16:52:32,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
143,2022-12-09T16:52:33,2022-12-09T16:52:33,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
144,2022-12-09T16:52:34,2022-12-09T16:52:34,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,101
145,2022-12-09T16:52:35,2022-12-09T16:52:35,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
146,2022-12-09T16:52:36,2022-12-09T16:52:36,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,102
147,2022-12-09T16:52:37,2022-12-09T16:52:37,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,103
148,2022-12-09T16:52:38,2022-12-09T16:52:38,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,105
149,2022-12-09T16:52:39,2022-12-09T16:52:39,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,105
150,2022-12-09T16:52:40,2022-12-09T16:52:40,com.google.heart_rate.bpm,raw:com.google.heart_rate.bpm:samsung:SM-R870:241b9b3e:Samsung HR Batch Sensor,104
